ID,Title,Company,Location,Score,Status,Source,Salary,URL,Matched Skills,Score Reasoning,Scraped At,Applied At,Resume,Cover Letter,Notes
61,Backend Software Engineer II,foodpanda,"Singapore, Singapore",9.5,scored,linkedin,,https://sg.linkedin.com/jobs/view/backend-software-engineer-ii-at-foodpanda-4370769994,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.","High technical skill match ( Node.js, Express.js, Python), seniority fit (5+ years experience), role type alignment (Backend) and location compatibility (Singapore is reachable from Bengaluru).",2026-02-13T19:11:39.298101,,,,
84,Principal Security Engineer,Auros,Remote,9.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-principal-security-engineer-auros-1130222,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, ReactJS (dashboards, admin panels, internal tools), Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, Docker, Linux, CI/CD","Strong technical match due to extensive backend experience and skills in security, AWS, and cloud DevOps.",2026-02-13T19:12:57.724229,,,,
83,(Senior) Backend Engineer (f/m/x),lemon.markets,Hybrides Arbeiten in Berlin,9.0,scored,indeed,,https://de.indeed.com/rc/clk?jk=5cdbf9ad1bd9a1fd&bb=nwP3NFodMrfS7MTCKKL-ZxUuM0rNougFkVQOSZk6F5DP8ai4kgD706VZ8ugJkX4XAxB5b1C7xknTQbVwBZO9E-hM-TQODjB6O3wf8ugFL6fBFEKlQJ_QgMzha1hQkRqL&xkcb=SoDS67M3nrvqUlzCGZ0MbzkdCdPP&fccid=00766c39b68a04b4&vjs=3,"Node.js, Express.js, Python, REST APIs, WebSockets, ReactJS, GenAl & Al Agents, LLM integration, Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring","Highly relevant skills for backend engineering and AI, seniority matches role requirements, suitable location",2026-02-13T19:12:07.536856,,,,
55,Backend Engineer - Agents Team,Taktile,"London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-agents-team-at-taktile-4369274228,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation","Excellent technical match, seniority fit, and role type alignment. However, location compatibility is a concern.",2026-02-13T19:11:21.696411,,,,
52,Backend Developer,Nabu Casa,"London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-developer-at-nabu-casa-4366360433,"C#, Node.js (JavaScript/TypeScript), Python, REST APIs, WebSockets, microservices, ReactJS, LLM integration (Azure GPT/OpenAI), MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security",The candidate's technical skills and experience closely match the job requirements.,2026-02-13T19:11:21.695411,,,,
49,Backend Engineer,CRED,United Kingdom,9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-at-cred-4339189757,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation","Highly relevant technical skills for a Backend Engineer role, strong seniority fit and alignment with the role type.",2026-02-13T19:11:21.694410,,,,
48,Backend Engineer,Uphold,"City Of London, England, United Kingdom",9.0,scored,linkedin,,https://uk.linkedin.com/jobs/view/backend-engineer-at-uphold-4370540512,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.",Excellent technical skill match and seniority fit for this Backend role at Uphold,2026-02-13T19:11:21.694410,,,,
45,"Backend Software Engineer, Python",Cradle,"Amsterdam, North Holland, Netherlands",9.0,scored,linkedin,,https://nl.linkedin.com/jobs/view/backend-software-engineer-python-at-cradle-4359408374,"Python, Node.js (JavaScript/TypeScript), REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI)",High score due to excellent technical skill match and seniority fit.,2026-02-13T19:11:07.847899,,,,
42,Junior Full-Stack Developer,Voormedia,"Amsterdam, North Holland, Netherlands",9.0,scored,linkedin,,https://nl.linkedin.com/jobs/view/junior-full-stack-developer-at-voormedia-4351607507,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), Databases orchestration, workflow automation, Cloud & DevOps, Security","Candidate has strong technical skills that match the job requirements, but seniority and role type alignment are not perfect",2026-02-13T19:11:07.846376,,,,
26,Backend Developer (Mid-Level) (m/w/d),Octopus Energy,"Berlin, Berlin, Germany",9.0,scored,linkedin,,https://de.linkedin.com/jobs/view/backend-developer-mid-level-m-w-d-at-octopus-energy-4371829063,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, ReactJS, microservices, event-driven systems, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security","Candidate's technical skills are a near-perfect match for the job requirements, and their experience is suitable for a mid-level role.",2026-02-13T19:10:54.962393,,,,
24,Back-end Engineer,Ailoys,"Berlin, Berlin, Germany",9.0,scored,linkedin,,https://de.linkedin.com/jobs/view/back-end-engineer-at-ailoys-4130081692,"C#, Node.js (JavaScript/TypeScript), Python, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.","High technical skill match, seniority fit, role type alignment, and growth potential",2026-02-13T19:10:54.962393,,,,
15,Full Stack Engineer,Deloitte,"Mumbai, Maharashtra, India",9.0,scored,linkedin,,https://in.linkedin.com/jobs/view/full-stack-engineer-at-deloitte-4352977676,"Node.js (JavaScript/TypeScript), Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps",High match due to extensive technical skills and seniority fit.,2026-02-13T19:10:40.998873,,,,
14,NodeJS Developer,HubSpire,India,9.0,scored,linkedin,,https://in.linkedin.com/jobs/view/nodejs-developer-at-hubspire-4257194341,"Node.js (JavaScript/TypeScript), Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, MySQL, PostgreSQL, MongoDB, Cloud & DevOps",Candidate has extensive experience in backend development and matches most technical requirements of the NodeJS Developer role.,2026-02-13T19:10:40.997873,,,,
5,Full Stack Python Developer,Deloitte,"Bengaluru, Karnataka, India",9.0,scored,linkedin,,https://in.linkedin.com/jobs/view/full-stack-python-developer-at-deloitte-4354034887,"Python, Node.js (JavaScript/TypeScript), Express.js, REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB","Excellent technical match, seniority fit, role type alignment and location compatibility.",2026-02-13T19:10:40.995873,,,,
125,Associate Preconstruction Project Engineer Battery Storage,Plus Power,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-associate-preconstruction-project-engineer-battery-storage-plus-power-1130125,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, Databases orchestration, workflow automation","High technical skill match, suitable seniority fit, and aligned role type.",2026-02-13T19:12:57.726771,,,,
115,Account Executive Southeast Region DroneSense,Versaterm,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-account-executive-southeast-region-dronesense-versaterm-1130150,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), Databases orchestration, workflow automation, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker","Strong match in technical skills, seniority, and role type alignment.",2026-02-13T19:12:57.725749,,,,
110,Senior Software Engineer India,Alpaca,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-india-alpaca-1130162,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.",Excellent match in technical skills and seniority fit.,2026-02-13T19:12:57.725229,,,,
107,Staff Software Engineer Distributed Simulation,Anduril Industries,Remote,8.5,scored,remoteok,"$220,000 - $292,000",https://remoteOK.com/remote-jobs/remote-staff-software-engineer-distributed-simulation-anduril-industries-1130167,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration","High technical skill match due to extensive experience in backend development and GenAI, along with relevant skills like Node.js, Express.js, Python, REST APIs, and WebSocket services.",2026-02-13T19:12:57.725229,,,,
102,Senior Full Stack Software Engineer Growth,Circle.so,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-full-stack-software-engineer-growth-circle-so-1130185,"C#, Node.js, Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.","High technical skill match, suitable seniority fit, and role type alignment",2026-02-13T19:12:57.725229,,,,
99,Forward Deployed Engineer DevOps,Parloa,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-forward-deployed-engineer-devops-parloa-1130194,"Node.js, Express.js, Python, AWS, Docker, Linux, CI/CD, monitoring, JWT, OAuth2, microservices, event-driven systems","Excellent technical skill match, seniority fit, and role type alignment.",2026-02-13T19:12:57.724229,,,,
94,Fullstack Automation Engineer Delivery Automation Team,Hostinger,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-fullstack-automation-engineer-delivery-automation-team-hostinger-1130201,"C#, Node.js (JavaScript/TypeScript), Python, REST APIs, WebSockets, microservices, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends.","Strong match in technical skills, seniority fit, and role type alignment.",2026-02-13T19:12:57.724229,,,,
93,Senior Systems Engineer,Logos,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-systems-engineer-logos-1130203,"Node.js, Express.js, Python, WebSockets, microservices, REST APIs, ReactJS (dashboards), Databases orchestration, workflow automation, conversational backends","The candidate's technical skills match most of the job requirements, and their experience is suitable for a Senior Systems Engineer role.",2026-02-13T19:12:57.724229,,,,
91,Senior DevSecOps Platform Security Engineer,DEFCON AI,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-devsecops-platform-security-engineer-defcon-ai-1130208,"Node.js (JavaScript/TypeScript), Python, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring, JWT, OAuth2","The candidate has a strong technical skill match, meets seniority requirements, and aligns well with the role type. Location is suitable for remote work.",2026-02-13T19:12:57.724229,,,,
88,Senior Software Engineer Trading Infrastructure,Gauntlet,Remote,8.5,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-trading-infrastructure-gauntlet-1130217,"C#, Node.js (JavaScript/TypeScript), Python, REST APIs, WebSockets, microservices, ReactJS (dashboards, admin panels, internal tools), LLM integration (Azure GPT/OpenAI), Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD",High technical skill match due to extensive experience in backend development and GenAI.,2026-02-13T19:12:57.724229,,,,
82,Junior Backend Engineer (m/f/x),Travelcircus GmbH,13407 Berlin,8.5,scored,indeed,,https://de.indeed.com/rc/clk?jk=3af6dd9955748870&bb=nwP3NFodMrfS7MTCKKL-Z18fBg3W_LOBGVhqScpCessvwlWmMo9fQqZ36MLHKOG9mVTlOxc2D-JT0UWBFkK9BT7z8fLofPdlOPsaRd5iVLApLCIxO_fPyfwsmiR4eNjz&xkcb=SoBm67M3nrvqUlzCGZ0NbzkdCdPP&fccid=2b23fb94329af383&vjs=3,"C#, Node.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends","High technical skill match (40/40), good seniority fit (16/20), exact role type alignment (20/20), location compatible (10/10), growth potential unclear but not a deal-breaker.",2026-02-13T19:12:07.533344,,,,
79,Backend Engineer,FAIRTIQ AG,Homeoffice,8.5,scored,indeed,,https://de.indeed.com/rc/clk?jk=69e369c16a170842&bb=nwP3NFodMrfS7MTCKKL-Z-FwoYIJ8v47bZKIE8VVDXZu5AH5fJwPhNs37_OA02S_bz74c91R2Y7-XuncXpVjuKbpMQBQvSDRgddDimLR5ce8DGPAwxNMjCoYGd5qtWiN&xkcb=SoDB67M3nrvqUlzCGZ0IbzkdCdPP&fccid=c72d1e887ca9cb49&vjs=3,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security",The candidate's technical skills match over 90% of the expected requirements and has extensive experience in backend development.,2026-02-13T19:12:07.522778,,,,
8,Full Stack Engineer,Deloitte,"Bengaluru, Karnataka, India",8.5,scored,linkedin,,https://in.linkedin.com/jobs/view/full-stack-engineer-at-deloitte-4353971991,"C#, Node.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring, JWT, OAuth2, role-based access control",Excellent technical skill match and seniority fit.,2026-02-13T19:10:40.996873,,,,
127,Senior Cloud Software Engineer Assist,Stack AV,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-cloud-software-engineer-assist-stack-av-1130119,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring, JWT, OAuth2, role-based access control",Pratik Lad's extensive experience in backend development and GenAI makes him a strong match for this role.,2026-02-13T19:12:57.726771,,,,
126,Solution CAD Engineer III,Unlimited Technology,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-solution-cad-engineer-iii-unlimited-technology-1130121,"Node.js (JavaScript/TypeScript), Python, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration","Candidate's technical skills align well with the job requirements, seniority fits, and role type alignment is strong.",2026-02-13T19:12:57.726771,,,,
123,UI Developer R01560583,Brillio,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-ui-developer-r01560583-brillio-1130131,"C#, Python, Express.js, FastAPI, REST APIs, WebSockets, microservices, ReactJS, RAG, Al agents, prompt, JWT, OAuth2","Candidate has some relevant skills, but doesn't match primary skills of Angular and Node",2026-02-13T19:12:57.725749,,,,
122,Technical Support Engineer Singapore,Dataiku,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-technical-support-engineer-singapore-dataiku-1130133,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation","High score due to excellent technical skill match, suitable seniority fit, and alignment with Backend/Full-stack/SDE roles",2026-02-13T19:12:57.725749,,,,
121,Senior Data Engineer,Lalamove,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-data-engineer-lalamove-1130136,"Python, Node.js (JavaScript/TypeScript), PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration, Databases orchestration","Strong technical skills match and seniority fit, but some concerns about role type alignment and growth potential.",2026-02-13T19:12:57.725749,,,,
120,Senior DevOps Engineer,Anduril Industries,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-devops-engineer-anduril-industries-1130139,"Node.js (JavaScript/TypeScript), Python, Ansible/Terraform, Virtual Machines, containers, Databases orchestration, workflow automation, security","High match in technical skills, seniority, and role type, but some concerns about location",2026-02-13T19:12:57.725749,,,,
119,Launch Operations Lead,Arketa,Remote,8.0,scored,remoteok,"$60,000 - $85,000",https://remoteOK.com/remote-jobs/remote-launch-operations-lead-arketa-1130140,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation","The candidate has extensive technical skills that match the requirements, but there's some mismatch in role type alignment.",2026-02-13T19:12:57.725749,,,,
117,DevSecOps Engineer DroneSense,Versaterm,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-devsecops-engineer-dronesense-versaterm-1130147,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, GenAl & Al Agents, LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security","Strong match in technical skills, seniority fit and role type alignment.",2026-02-13T19:12:57.725749,,,,
116,Customer Success Manager DroneSense,Versaterm,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-customer-success-manager-dronesense-versaterm-1130148,"Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, Databases orchestration, workflow automation, conversational backends, MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security","Strong technical match due to extensive backend development experience and GenAI skills. However, some mismatch in seniority fit as this is a Customer Success Manager role.",2026-02-13T19:12:57.725749,,,,
114,Talent Development Manager CDD,Pennylane,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-talent-development-manager-cdd-pennylane-1130151,"C#, Node.js (JavaScript/TypeScript), Python, PHP, Ruby, Express.js, FastAPI, REST APIs, WebSockets, microservices, ReactJS (dashboards, admin panels, internal tools), GenAl & Al Agents, LLM integration (Azure GPT/OpenAI)","Candidate's skills closely match Pennylane's requirements, especially in GenAI, backend development, and REST APIs.",2026-02-13T19:12:57.725749,,,,
109,Senior Staff Platform Engineer,Veeam Software,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-staff-platform-engineer-veeam-software-1130163,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS (dashboards, admin panels), LLM integration (Azure GPT/OpenAI), RAG, Al agents, prompt, Databases orchestration, workflow automation, conversational backends., MySQL, PostgreSQL, MongoDB, Cloud & DevOps, Security, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring, JWT, OAuth2","Strong technical match due to extensive experience in backend development and GenAI; however, Azure expertise is a significant requirement that needs careful consideration.",2026-02-13T19:12:57.725229,,,,
108,Senior Software Engineer DevProd,Temporal Technologies,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-senior-software-engineer-devprod-temporal-technologies-1130164,"Node.js, Express.js, Python, REST APIs, WebSockets, microservices, event-driven systems, ReactJS, AWS, DigitalOcean, Docker, Linux, CI/CD, monitoring, JWT, OAuth2, role-based access control","Strong technical match, suitable seniority level and role type alignment, compatible location, but limited growth potential due to remote nature of the company",2026-02-13T19:12:57.725229,,,,
104,Staff Software Engineer Platform Team,Wellhub,Remote,8.0,scored,remoteok,,https://remoteOK.com/remote-jobs/remote-staff-software-engineer-platform-team-wellhub-1130180,"Node.js, Express.js, Python, REST APIs","The candidate's technical skills closely match the requirements, including experience in Node.js, Express.js, Python, and REST APIs.",2026-02-13T19:12:57.725229,,,,
